windSpdKts,gustKts,windVrbDeg,visibilityMtrs,qnh,ws
14,0,0,9999,1019,0
14,0,0,8000,1019,0
16,0,0,6000,1019,0
14,0,0,8000,1019,0
13,0,0,8000,1019,0
14,0,0,8000,1019,0
13,0,0,8000,1019,0
15,0,0,5000,1019,0
14,0,0,4000,1019,0
14,0,0,5000,1019,1
16,0,0,6000,1019,1
16,0,0,9999,1019,0
14,0,0,8000,1020,0
15,0,0,7000,1020,0
17,0,0,6000,1020,1
17,0,0,4000,1021,0
15,0,0,4000,1021,0
13,0,0,6000,1021,0
14,0,0,4000,1021,0
15,0,0,6000,1021,0
13,0,0,7000,1021,0
16,0,0,7000,1021,0
16,0,0,7000,1021,0
15,0,0,6000,1021,1
14,0,0,6000,1021,1
14,0,0,6000,1021,1
14,0,0,6000,1021,1
15,0,0,6000,1021,1
15,0,0,6000,1021,0
16,0,0,6000,1021,0
17,0,0,4000,1021,1
19,0,0,6000,1021,1
19,0,0,5000,1021,0
21,0,0,4000,1021,0
22,32,0,4000,1021,0
20,0,0,5000,1021,0
21,0,0,4000,1021,0
19,0,0,5000,1021,0
20,0,0,3000,1020,1
