windSpdKts,gustKts,windVrbDeg,intensity,rain,visibilityMtrs,qnh,ws
10,0,0,0.3,1,9999,1018,0
10,0,0,0.3,1,9999,1019,0
09,0,0,0.3,1,9999,1019,0
07,0,0,0.3,1,8000,1019,0
07,0,0,0.3,1,9999,1019,0
07,0,0,0,0,9999,1018,0
08,0,0,0,0,9999,1018,0
08,0,0,0,0,9999,1017,0
05,0,0,0,0,9999,1018,0
09,0,0,0,0,9999,1018,0
07,0,0,0,0,9999,1018,0
05,0,0,0,0,9999,1018,0
07,0,0,0,0,9999,1018,0
08,0,0,0,0,9999,1018,0
06,0,0,0,0,9999,1018,0
09,0,0,0,0,9999,1017,0
08,0,0,0,0,9999,1018,0
10,0,0,0,0,9999,1017,0
09,0,0,0,0,9999,1016,0
08,0,0,0,0,9999,1016,0
08,0,0,0,0,9999,1016,0
09,0,0,0,0,9999,1016,0
08,0,60,0,0,9999,1015,0
11,0,0,0,0,9999,1015,0
07,0,80,0.3,1,9999,1015,0
06,0,140,0.3,1,9999,1015,0
13,0,0,0.3,1,9999,1014,0
08,0,0,0.3,1,9999,1015,0
07,20,120,0.3,1,7000,1015,0
06,0,0,0.3,1,9999,1015,0
11,0,0,0.3,1,9999,1015,0
12,0,0,0.3,1,9999,1016,0
13,0,0,0.3,1,8000,1016,0
13,0,0,0.3,1,9999,1016,0
11,0,0,0.3,1,3500,1017,0
11,0,0,0.3,1,8000,1016,0
11,0,0,0.3,1,9999,1016,0
13,0,0,0.3,1,6000,1016,0
10,0,0,0.3,1,4500,1016,0
10,0,0,0.3,1,9000,1016,0
11,0,0,0.3,1,9999,1016,0
11,0,0,0,0,9999,1015,0
15,0,0,0,0,9999,1014,0
13,0,0,0,0,9999,1016,0
12,0,0,0,0,9999,1016,0
11,0,0,0,0,9999,1016,0
14,0,0,0,0,9999,1017,0
13,0,70,0,0,9999,1017,0
12,0,60,0,0,9999,1017,0
14,0,0,0,0,9999,1017,0
15,0,0,0,0,9999,1017,0
13,0,0,0,0,9999,1017,0
12,0,0,0,0,9999,1017,0
14,0,0,0,0,9999,1017,0
12,0,0,0,0,9999,1017,0
11,0,0,0,0,9999,1016,0
14,0,0,0,0,9999,1016,0
12,0,0,0,0,9999,1016,0
11,0,0,0,0,9999,1016,0
09,0,0,0,0,9999,1016,0
10,0,0,0,0,9999,1016,0
11,0,0,0,0,9999,1016,0
14,0,0,0,0,9999,1016,0
12,0,0,0,0,9999,1016,0
14,0,0,0,0,9999,1017,0
14,0,0,0,0,9999,1017,0
14,0,60,0,0,9999,1018,0
12,0,0,0,0,9999,1018,0
12,0,70,0,0,9999,1019,0
10,0,0,0,0,9999,1019,0
09,0,60,0,0,9999,1019,0
01,0,0,0,0,9999,1019,0
02,0,0,0,0,9000,1019,0
01,0,0,0,0,9000,1018,0
02,0,0,0.3,1,9999,1018,0
02,0,0,0.3,1,9999,1017,0
02,0,0,0.3,1,9999,1018,0
06,0,0,0.3,1,9000,1018,0
06,0,0,0.3,1,9999,1018,0
04,0,0,0.3,1,9999,1018,0
07,0,0,0.3,1,9999,1018,0
08,0,0,0.3,1,9999,1018,0
05,0,0,0,0,9999,1018,0
08,0,0,0,0,9999,1018,0
07,0,0,0,0,9999,1018,0
08,0,0,0,0,9999,1018,0
07,0,0,0,0,9999,1017,0
09,0,0,0,0,9999,1017,0
07,0,70,0.3,1,9999,1017,1
06,0,100,0.3,1,9999,1017,0
07,0,80,0,0,9999,1016,0
06,0,0,0,0,9999,1016,0
09,0,80,0,0,9999,1016,0
10,0,60,0,0,9999,1016,0
14,0,0,0,0,9999,1016,0
13,0,0,0,0,9999,1016,0
13,0,0,0,0,9999,1016,0
12,0,0,0,0,9999,1016,0
11,0,0,0.3,1,9999,1017,0
09,0,0,0.3,1,9999,1018,0
14,0,0,0,0,9999,1019,0
16,0,0,0,0,9999,1019,1
18,0,0,0,0,9999,1019,0
17,0,0,0,0,9999,1020,0
14,0,0,0,0,9999,1020,0
10,0,0,0,0,9999,1020,0
11,0,0,0,0,9999,1020,0
11,0,0,0,0,9999,1020,0
09,0,0,0,0,9999,1020,0
10,0,0,0,0,9999,1019,0
08,0,0,0,0,9999,1019,0
08,0,0,0,0,9999,1019,0
09,0,0,0,0,9999,1019,0
07,0,0,0,0,9999,1019,0
08,0,0,0,0,9999,1019,0
09,0,0,0,0,9999,1020,0
09,0,0,0,0,9999,1020,0
08,0,0,0,0,9999,1020,0
08,0,0,0,0,9999,1020,0
